"toi","tid","tfopwg_disp","rastr","ra","decstr","dec","st_pmra","st_pmdec","pl_tranmid","pl_orbper","pl_trandurh","pl_trandep","pl_rade","pl_insol","pl_eqt","st_tmag","st_dist","st_teff","st_logg","st_rad","toi_created","rowupdate"
"5107.01","97735297","FP","06h10m41.98s","926749 310","+31d19m42.23s","313283 970","-34530 000","-29100 000","24595479101 110","18354 365","16330 000","3100000 000","57988 000","68095200 000","25300000 000","94098 000","6509430 000","97580000 000","38000 000","32700 000","25.01.2022 22:18","05.02.2024 12:02"
"5108.01","350348197","CP","11h05m04.68s","1662695 040","+11d14m47.07s","112464 070","675550 000","-465790 000","24602853567 460","67535 728","21730 000","17400000 000","62879 600","1227850 000","9270000 000","91845 800","1309190 000","58800000 000","42200 000","13200 000","25.01.2022 22:18","21.04.2025 12:03"
"5109.01","411930845","PC","05h17m39.13s","794130 220","+17d42m52.29s","177145 240","12390 000","-56510 000","24595473841 130","32104 815","16930 000","16000000 000","205754 000","28470400 000","20350000 000","102846 000","11651300 000","91240000 000","34600 000","47100 000","25.01.2022 22:18","04.01.2023 12:03"
"511.01","440777904","KP","07h15m18.03s","1088251 170","+14d15m45.38s","142626 060","81520 000","-17160 000","24584916957 170","33552 444","37362 246","111999266 299","154971 874","12949289 564","15299640 816","113072 000","4153440 000","63730000 000","42728 300","14188 600","22.03.2019 22:54","26.11.2024 16:02"
"5110.01","239977528","CP","06h17m37.02s","944042 690","+31d36m37.19s","316103 310","-62990 000","-17560 000","24602274804 570","301584 857","38520 000","22930000 000","112128 000","151027 000","5490000 000","102592 000","3922590 000","60830000 000","37400 000","23800 000","25.01.2022 22:18","24.05.2024 12:03"
"5111.01","203289099","KP","09h05m26.76s","1363614 920","+21d40m06.92s","216685 890","144730 000","-259400 000","24602803240 500","33557 219","15990 000","11010000 000","19149 000","372966 000","6880000 000","117538 000","751691 000","38070000 000","46800 000","0.5600000","25.01.2022 22:18","01.02.2024 16:02"
"5112.01","337385330","PC","07h21m13.07s","1103044 660","+17d35m18.83s","175885 650","-678880 000","-570180 000","24602612922 760","155328 060","35640 000","12360000 000","21774 200","314267 000","6590000 000","101857 000","438372 000","39730000 000","46500 000","0.6100000","25.01.2022 22:18","04.01.2024 10:08"
"5113.01","2685481","PC","05h21m59.63s","804984 640","+30d56m55.42s","309487 280","-84910 000","-61950 000","24606623956 470","41364 880","25510 000","4620000 000","27577 100","4059320 000","12500000 000","102212 000","2228740 000","61130000 000","42100 000","13900 000","25.01.2022 22:18","21.08.2025 15:10"
"5114.01","26693519","PC","07h23m08.45s","1107852 000","+25d33m31.51s","255587 520","22000 000","-63000 000","24602807318 840","61539 077","21150 000","16360000 000","223615 000","1140330 000","9100000 000","100643 000","","52344000 000","","56300 000","25.01.2022 22:18","01.02.2024 16:02"
"5115.01","366499151","PC","08h28m37.08s","1271544 880","+10d14m58.16s","102494 880","976450 000","-1158390 000","24595546410 040","138240 078","35120 000","11400000 000","23817 100","357320 000","6810000 000","121045 000","2076180 000","51290000 000","46700 000","0.7100000","25.01.2022 22:18","01.02.2024 16:02"
"5116.01","149496868","PC","10h57m30.24s","1643759 960","+12d32m08.21s","125356 140","-427820 000","-46010 000","24595786539 160","34355 113","21100 000","25800000 000","41836 800","1465770 000","9690000 000","119783 000","1972340 000","48700000 000","45300 000","0.8000000","25.01.2022 22:18","20.04.2022 16:02"
"5117.01","26469462","PC","07h11m03.07s","1077628 090","+14d56m51.07s","149475 190","-197450 000","-213280 000","24595341374 270","116986 928","33700 000","9300000 000","35187 700","890703 000","8550000 000","103657 000","2177860 000","62475000 000","43900 000","11600 000","25.01.2022 22:18","06.07.2022 12:02"
"5118.01","438412198","PC","06h29m26.9s","973620 730","+15d39m20.34s","156556 500","21880 000","16250 000","24602576675 310","15749 553","22160 000","3040000 000","25118 600","30314900 000","20670000 000","100769 000","2803700 000","66350000 000","41900 000","15700 000","25.01.2022 22:18","03.01.2024 16:02"
