"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag"
"9884104","K00718.03","Kepler-219 d","CONFIRMED","CANDIDATE","0.9970","0","0","0","0","47903427 000","1419834 700","0.9180","619 100","3.79E+6","Mar.55","598.0","30.17","34.10","3","q1_q17_dr25_tce","5788.00","4.160","Jan.50","288738 980","46762 562","13.764"
"9950612","K00719.01","Kepler-220 c","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","9034190 783","1710153 290","0.8460","155 010","5.78E+6","Jan.80","586.0","27.87","82.10","1","q1_q17_dr25_tce","4499.00","4.635","0.6390","291506 160","46895 741","13.177"
"9714696","K00616.01","","FALSE POSITIVE","FALSE POSITIVE","0.9280","0","0","1","0","1433339 604","1698560 600","0.9020","136 650","3.05E+6","02.Aug","1677.0","1873.33","39.60","1","q1_q17_dr25_tce","6077.00","4.471","0.9990","293689 120","46412 880","14.811"
"9846086","K00617.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","0","0","37865119 040","1985993 310","Jan.00","297 990","6.94E+7","40.36","535.0","19.31","222.30","1","q1_q17_dr25_tce","5858.00","4.495","0.9630","297418 670","46644 260","14.608"
"10353968","K00618.01","Kepler-623 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","9070981 640","1783435 000","0.0130","269 030","1.03E+7","Feb.94","825.0","109.61","59.10","1","q1_q17_dr25_tce","5672.00","4.506","0.9290","296986 720","47477 390","14.959"
"10384962","K00619.01","","FALSE POSITIVE","FALSE POSITIVE","0.6910","0","1","0","0","2879243 323","1707106 360","0.7090","262 730","4.80E+8","21.Feb","1244.0","565.39","200.50","1","q1_q17_dr25_tce","5941.00","4.533","0.8850","281775 540","47593 250","14.371"
"11773022","K00620.01","Kepler-51 b","CONFIRMED","CANDIDATE","0.9780","0","0","0","0","45155356 330","1591054 400","0.0630","578 450","6.21E+7","Jul.65","523.0","17.68","285.10","2","q1_q17_dr25_tce","6046.00","4.486","0.9720","296479 770","49937 679","14.669"
"7033671","K00670.01","Kepler-641 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","9489655 270","1719260 400","0.7950","358 700","2.62E+6","Feb.16","926.0","173.79","42.50","1","q1_q17_dr25_tce","5672.00","4.279","Jan.40","291823 490","42516 209","13.774"
"7040629","K00671.01","Kepler-208 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","4228652 170","1707405 300","0.0090","332 750","1.50E+6","Jan.83","1379.0","854.59","41.50","1","q1_q17_dr25_tce","5966.00","4.169","Jan.90","293890 200","42527 966","13.749"
"2711131","K07637.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","1","2858899 070","1341664 900","0.9360","146 500","5.57E+5","0.73","989.0","226.09","Jun.90","1","q1_q17_dr25_tce","4973.00","4.603","0.7540","291017 270","37975 368","13.514"
"7040629","K00671.02","Kepler-208 c","CONFIRMED","CANDIDATE","0.9990","0","0","0","0","7466620 680","1327755 000","0.2550","387 000","1.21E+6","Jan.65","1141.0","401.08","27.40","2","q1_q17_dr25_tce","5966.00","4.169","Jan.90","293890 200","42527 966","13.749"
"7040629","K00671.03","Kepler-208 e","CONFIRMED","CANDIDATE","0.9920","0","0","0","0","16259519 670","1445320 300","0.3740","385 400","1.30E+6","Jan.72","880.0","142.10","19.60","3","q1_q17_dr25_tce","5966.00","4.169","Jan.90","293890 200","42527 966","13.749"
"7040629","K00671.04","Kepler-208 d","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","11131790 100","1344227 200","0.3420","405 100","9.55E+5","Jan.47","999.0","235.55","18.20","4","q1_q17_dr25_tce","5966.00","4.169","Jan.90","293890 200","42527 966","13.749"
"9950612","K00719.02","Kepler-220 d","CONFIRMED","CANDIDATE","0.9970","0","0","0","0","28122439 300","1469176 300","0.5160","417 400","1.94E+6","0.90","401.0","Jun.13","26.90","4","q1_q17_dr25_tce","4499.00","4.635","0.6390","291506 160","46895 741","13.177"
"6678383","K00111.01","Kepler-104 b","CONFIRMED","CANDIDATE","0.9990","0","0","0","0","11427550 984","1376137 110","0.6080","460 740","5.01E+6","Feb.35","852.0","124.31","165.50","1","q1_q17_dr25_tce","5979.00","4.394","Jan.50","287604 610","42166 779","12.596"
"2308411","K07631.01","","FALSE POSITIVE","FALSE POSITIVE","0.0140","0","0","1","0","0.983304511","1324847 800","0.4770","178 000","7.99E+5","01.Oct","2121.0","4774.53","10.Oct","1","q1_q17_dr25_tce","6363.00","4.386","Jan.80","292637 660","37641 880","14.981"
"9950612","K00719.03","Kepler-220 e","CONFIRMED","CANDIDATE","0.9990","0","0","0","0","45902976 800","1665566 700","0.3030","500 410","3.62E+6","Jan.18","341.0","Mar.19","42.90","2","q1_q17_dr25_tce","4499.00","4.635","0.6390","291506 160","46895 741","13.177"
"9950612","K00719.04","Kepler-220 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","4159816 554","1337861 600","0.6760","162 610","1.60E+6","0.86","759.0","78.40","35.60","3","q1_q17_dr25_tce","4499.00","4.635","0.6390","291506 160","46895 741","13.177"
"9963524","K00720.01","Kepler-221 c","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","5690591 630","1740488 500","0.5730","255 700","1.38E+7","03.Oct","860.0","129.31","45.50","1","q1_q17_dr25_tce","5244.00","4.538","0.8100","296654 750","46835 270","13.749"
"5780885","K00097.01","Kepler-7 b","CONFIRMED","CANDIDATE","0.9990","0","1","0","0","4885488 596","1342768 785","0.3610","516 165","7.46E+7","16.66","1496.0","1182.79","2590.10","1","q1_q17_dr25_tce","6036.00","3.968","Jan.90","288581 510","41089 809","12.885"
"11773022","K00620.02","Kepler-51 d","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","130178029 620","2120326 380","0.0220","845 340","1.16E+8","Oct.44","367.0","Apr.31","365.20","1","q1_q17_dr25_tce","6046.00","4.486","0.9720","296479 770","49937 679","14.669"
"11773022","K00620.03","Kepler-51 c","CONFIRMED","CANDIDATE","0.9700","0","0","0","0","85316200 400","2953158 800","0.9720","274 410","1.90E+7","Jun.34","423.0","Jul.57","32.60","3","q1_q17_dr25_tce","6046.00","4.486","0.9720","296479 770","49937 679","14.669"
"12251650","K00621.01","","CANDIDATE","CANDIDATE","0.0000","0","0","0","0","17761998 411","1741831 018","0.9070","246 440","2.42E+8","14.25","538.0","19.78","731.70","1","q1_q17_dr25_tce","5088.00","4.612","0.6690","287460 970","50975 071","14.762"
"12417486","K00622.01","","CANDIDATE","CANDIDATE","Jan.00","0","0","0","0","155042265 000","2134997 800","0.8240","984 800","4.88E+7","26.44","511.0","16.15","117.90","1","q1_q17_dr25_tce","4994.00","3.509","Mar.20","295880 280","51263 790","14.932"
"12068975","K00623.01","Kepler-197 c","CONFIRMED","CANDIDATE","0.2840","0","0","0","0","10349732 760","1740619 300","0.9050","448 590","1.19E+6","Jan.44","930.0","177.25","44.50","1","q1_q17_dr25_tce","6003.00","4.303","1.1090","295226 440","50558 979","11.811"
"7115785","K00672.01","Kepler-209 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","16087862 460","1728138 400","0.8240","309 500","6.12E+6","Feb.56","668.0","47.17","63.70","2","q1_q17_dr25_tce","5506.00","4.473","0.9140","291169 530","42640 808","13.998"
"2834805","K07638.01","","CANDIDATE","CANDIDATE","0.7600","0","0","0","0","25003202 300","1409010 600","0.7560","549 800","6.41E+5","Jan.47","837.0","116.27","Dec.60","1","q1_q17_dr25_tce","6148.00","Apr.55","Jan.50","286701 450","38042 191","12.550"
"7115785","K00672.02","Kepler-209 c","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","41749386 130","1538463 600","0.2260","560 980","1.06E+7","Feb.94","486.0","13.22","95.00","1","q1_q17_dr25_tce","5506.00","4.473","0.9140","291169 530","42640 808","13.998"
